step,mean
707,44.2
708,66.1
709,66.3
710,66.3
711,65.3
712,65.4
713,65.3
714,64.5
715,63.8
716,64.1
717,63.9
718,44.5
719,55.5
720,53.0
721,37.9
722,19.4
723,18.1
724,17.9
725,21.3
726,44.6
727,64.5
728,64.3
729,65.2
730,65.1
731,65.1
732,65.3
733,63.8
734,63.3
735,41.9
736,18.8
737,21.6
738,44.9
739,65.5
740,65.5
741,64.9
742,63.4
743,62.7
744,63.9
745,39.2
746,14.0
747,14.0
748,13.9
749,13.7
750,15.7
751,15.2
752,15.2
753,14.9
754,16.1
755,17.9
756,27.5
757,64.8
758,64.0
759,64.1
760,64.9
761,65.6
762,65.0
763,64.9
764,64.7
765,65.0
766,32.6
767,19.1
768,19.1
769,33.1
770,66.7
771,66.0
772,65.9
773,65.1
774,65.1
775,64.3
776,64.2
777,64.3
778,60.4
779,16.8
780,16.2
781,20.0
782,64.2
783,62.7
784,33.5
785,15.2
786,15.3
787,15.3
788,15.3
789,21.2
790,48.0
791,64.0
792,64.8
793,65.1
794,65.6
795,65.7
796,64.5
797,63.7
798,63.5
799,63.5
800,63.9
801,34.9
802,38.4
803,63.7
804,63.0
805,63.3
806,47.8
807,15.2
808,15.3
809,14.6
810,19.7
811,44.2
812,63.7
813,44.5
814,18.1
815,27.9
816,64.0
817,64.0
818,63.6
819,63.0
820,43.5
821,36.2
822,65.2
823,64.8
824,64.7
825,41.5
826,22.7
827,59.6
828,65.1
829,65.0
830,65.5
831,64.5
832,64.2
833,64.8
834,64.4
835,15.3
836,15.6
837,15.7
838,15.4
839,16.0
840,23.8
841,57.6
842,66.0
843,66.0
844,66.4
845,64.8
846,64.8
847,64.3
848,39.4
849,13.8
850,14.2
851,14.3
852,14.4
853,16.1
854,19.5
855,39.0
856,63.8
857,65.1
858,66.1
859,66.1
860,65.1
861,64.8
862,65.1
863,64.1
864,64.2
865,64.5
866,55.3
867,31.6
868,18.9
869,42.8
870,66.3
871,65.3
872,64.6
873,63.1
874,62.7
875,62.6
876,62.9
877,63.9
878,42.5
879,42.0
880,39.9
881,16.2
882,15.7
883,15.9
884,16.4
885,16.4
886,16.0
887,26.1
888,50.4
889,63.1
890,63.9
891,64.8
892,64.1
893,63.2
894,64.5
895,65.2
896,65.7
897,65.9
898,45.5
899,34.0
900,64.8
901,63.9
902,64.1
903,30.3
904,38.0
905,65.7
906,65.3
907,65.1
908,64.9
909,32.0
910,39.4
911,64.9
912,63.7
913,63.5
914,63.7
915,26.9
916,48.3
917,62.6
918,61.5
919,60.3
920,23.4
921,14.3
922,13.8
923,13.9
924,13.2
925,13.5
926,13.2
927,13.1
928,14.2
929,14.0
930,14.0
931,14.8
932,19.1
933,38.8
934,62.1
935,66.4
936,66.5
937,65.5
938,64.5
939,65.3
940,65.5
941,64.9
942,64.5
943,64.0
944,64.5
945,64.3
946,63.9
947,62.6
948,62.7
949,38.0
950,14.5
951,15.7
952,15.4
953,15.3
954,15.4
955,38.2
956,63.1
957,63.5
958,61.4
959,37.9
960,18.2
961,18.8
962,18.9
963,33.6
964,58.4
965,66.5
966,65.5
967,65.1
968,64.5
969,65.5
970,66.1
971,66.5
972,44.5
973,23.9
974,48.8
975,66.0
976,66.7
977,65.7
978,65.7
979,65.8
980,66.3
981,64.5
982,62.7
983,60.7
984,59.7
985,40.6
986,13.7
987,13.8
988,14.1
989,13.7
990,14.7
991,23.5
992,44.6
993,65.1
994,65.8
995,64.2
996,65.1
997,65.7
998,64.9
999,64.2
1000,65.7
1001,65.7
1002,63.6
1003,63.5
1004,63.5
1005,63.7
1006,43.1
1007,40.8
1008,44.3
1009,64.1
1010,63.3
1011,62.9
1012,63.8
1013,38.9
1014,31.1
1015,14.8
1016,14.6
1017,14.9
1018,18.8
1019,28.6
1020,44.8
1021,65.1
1022,66.7
1023,66.8
1024,66.6
1025,64.7
1026,64.8
1027,66.1
1028,66.0
1029,42.8
1030,26.4
1031,50.6
1032,64.9
1033,41.8
1034,29.2
1035,50.7
1036,65.5
1037,65.9
1038,65.8
1039,64.1
1040,62.7
1041,62.1
1042,39.1
1043,16.0
1044,14.8
1045,15.1
1046,16.0
1047,16.0
1048,15.6
1049,14.5
1050,13.6
1051,40.0
1052,65.3
1053,65.3
1054,65.4
1055,66.3
1056,66.1
1057,65.3
1058,65.3
1059,65.5
1060,66.0
1061,65.0
1062,65.1
1063,65.2
1064,62.8
1065,62.5
1066,63.1
1067,40.5
1068,21.6
1069,44.7
1070,64.0
1071,64.7
1072,64.7
1073,48.7
1074,27.9
1075,21.0
1076,17.6
1077,16.8
1078,16.0
1079,15.8
1080,15.6
1081,15.5
1082,18.3
1083,21.6
1084,43.0
1085,63.5
1086,63.9
1087,63.3
1088,63.9
1089,63.2
1090,63.3
1091,63.1
1092,62.9
1093,63.9
1094,63.2
1095,63.3
1096,63.9
1097,63.9
1098,63.3
1099,63.9
1100,62.8
1101,61.7
1102,62.3
1103,62.5
1104,38.8
1105,28.7
1106,14.3
1107,13.4
1108,13.1
1109,12.8
1110,13.5
1111,14.1
1112,16.0
1113,24.2
1114,42.2
1115,51.2
1116,35.6
1117,30.4
1118,53.4
1119,65.3
1120,66.4
1121,67.7
1122,67.6
1123,67.7
1124,66.5
